,European Union Emissions Trading System (until 2018),,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, 
2011-08-30,1,1.434321739,EUR,12.92, 
2011-08-31,1,1.434321739,EUR,, 
2011-09-01,1,1.377,EUR,, 
2011-09-02,1,1.377,EUR,, 
2011-09-05,1,1.377,EUR,, 
2011-09-06,1,1.377,EUR,12.33, 
2011-09-07,1,1.377,EUR,, 
2011-09-08,1,1.377,EUR,, 
2011-09-09,1,1.377,EUR,, 
2011-09-12,1,1.377,EUR,, 
2011-09-13,1,1.377,EUR,11.74, 
2011-09-14,1,1.377,EUR,, 
2011-09-15,1,1.377,EUR,, 
2011-09-16,1,1.377,EUR,, 
2011-09-19,1,1.377,EUR,, 
2011-09-20,1,1.377,EUR,11.61, 
2011-09-21,1,1.377,EUR,, 
2011-09-22,1,1.377,EUR,, 
2011-09-23,1,1.377,EUR,, 
2011-09-26,1,1.377,EUR,, 
2011-09-27,1,1.377,EUR,10.8, 
2011-09-28,1,1.377,EUR,, 
2011-09-29,1,1.377,EUR,, 
2011-09-30,1,1.377,EUR,, 
2011-10-04,1,1.370633333,EUR,9.92, 
2011-10-05,1,1.370633333,EUR,, 
2011-10-06,1,1.370633333,EUR,, 
2011-10-07,1,1.370633333,EUR,, 
2011-10-10,1,1.370633333,EUR,, 
2011-10-11,1,1.370633333,EUR,10.49, 
2011-10-12,1,1.370633333,EUR,, 
2011-10-13,1,1.370633333,EUR,, 
2011-10-14,1,1.370633333,EUR,, 
2011-10-17,1,1.370633333,EUR,, 
2011-10-18,1,1.370633333,EUR,10, 
2011-10-19,1,1.370633333,EUR,, 
2011-10-20,1,1.370633333,EUR,, 
2011-10-21,1,1.370633333,EUR,, 
2011-10-24,1,1.370633333,EUR,, 
2011-10-25,1,1.370633333,EUR,10.44, 
2011-10-26,1,1.370633333,EUR,, 
2011-10-27,1,1.370633333,EUR,10.3, 
2011-10-28,1,1.370633333,EUR,, 
2011-10-31,1,1.370633333,EUR,, 
2011-11-01,1,1.355572727,EUR,9.9, 
2011-11-02,1,1.355572727,EUR,, 
2011-11-03,1,1.355572727,EUR,, 
2011-11-04,1,1.355572727,EUR,, 
2011-11-07,1,1.355572727,EUR,, 
2011-11-08,1,1.355572727,EUR,9.95, 
2011-11-09,1,1.355572727,EUR,, 
2011-11-10,1,1.355572727,EUR,, 
2011-11-11,1,1.355572727,EUR,, 
2011-11-14,1,1.355572727,EUR,, 
2011-11-15,1,1.355572727,EUR,9.93, 
2011-11-16,1,1.355572727,EUR,, 
2011-11-17,1,1.355572727,EUR,, 
2011-11-18,1,1.355572727,EUR,, 
2011-11-21,1,1.355572727,EUR,, 
2011-11-22,1,1.355572727,EUR,8.97, 
2011-11-23,1,1.355572727,EUR,, 
2011-11-24,1,1.355572727,EUR,8.05, 
2011-11-25,1,1.355572727,EUR,, 
2011-11-28,1,1.355572727,EUR,, 
2011-11-29,1,1.355572727,EUR,, 
2011-11-30,1,1.355572727,EUR,, 
2011-12-01,1,1.317904762,EUR,, 
2011-12-02,1,1.317904762,EUR,, 
2011-12-05,1,1.317904762,EUR,, 
2011-12-06,1,1.317904762,EUR,, 
2011-12-07,1,1.317904762,EUR,, 
2011-12-08,1,1.317904762,EUR,, 
2011-12-09,1,1.317904762,EUR,, 
2011-12-12,1,1.317904762,EUR,, 
2011-12-13,1,1.317904762,EUR,7.13, 
2011-12-14,1,1.317904762,EUR,, 
2011-12-15,1,1.317904762,EUR,, 
2011-12-16,1,1.317904762,EUR,, 
2011-12-19,1,1.317904762,EUR,, 
2011-12-20,1,1.317904762,EUR,, 
2011-12-21,1,1.317904762,EUR,, 
2011-12-22,1,1.317904762,EUR,, 
2011-12-23,1,1.317904762,EUR,, 
2011-12-27,1,1.317904762,EUR,, 
2011-12-28,1,1.317904762,EUR,, 
2011-12-29,1,1.317904762,EUR,, 
2011-12-30,1,1.317904762,EUR,, 
2012-01-02,1,1.290486364,EUR,, 
2012-01-03,1,1.290486364,EUR,6.31, 
2012-01-04,1,1.290486364,EUR,, 
2012-01-05,1,1.290486364,EUR,, 
2012-01-06,1,1.290486364,EUR,, 
2012-01-09,1,1.290486364,EUR,, 
2012-01-10,1,1.290486364,EUR,6.83, 
2012-01-11,1,1.290486364,EUR,, 
2012-01-12,1,1.290486364,EUR,, 
2012-01-13,1,1.290486364,EUR,, 
2012-01-16,1,1.290486364,EUR,, 
2012-01-17,1,1.290486364,EUR,6.68, 
2012-01-18,1,1.290486364,EUR,, 
2012-01-19,1,1.290486364,EUR,, 
2012-01-20,1,1.290486364,EUR,, 
2012-01-23,1,1.290486364,EUR,, 
2012-01-24,1,1.290486364,EUR,6.9, 
2012-01-25,1,1.290486364,EUR,, 
2012-01-26,1,1.290486364,EUR,7.46, 
2012-01-27,1,1.290486364,EUR,, 
2012-01-30,1,1.290486364,EUR,, 
2012-01-31,1,1.290486364,EUR,7.66, 
2012-02-01,1,1.322409524,EUR,, 
2012-02-02,1,1.322409524,EUR,, 
2012-02-03,1,1.322409524,EUR,, 
2012-02-06,1,1.322409524,EUR,, 
2012-02-07,1,1.322409524,EUR,8.42, 
2012-02-08,1,1.322409524,EUR,, 
2012-02-09,1,1.322409524,EUR,, 
2012-02-10,1,1.322409524,EUR,, 
2012-02-13,1,1.322409524,EUR,, 
2012-02-14,1,1.322409524,EUR,7.6, 
2012-02-15,1,1.322409524,EUR,, 
2012-02-16,1,1.322409524,EUR,, 
2012-02-17,1,1.322409524,EUR,, 
2012-02-20,1,1.322409524,EUR,, 
2012-02-21,1,1.322409524,EUR,8.58, 
2012-02-22,1,1.322409524,EUR,, 
2012-02-23,1,1.322409524,EUR,8.81, 
2012-02-24,1,1.322409524,EUR,, 
2012-02-27,1,1.322409524,EUR,, 
2012-02-28,1,1.322409524,EUR,9.17, 
2012-02-29,1,1.322409524,EUR,, 
2012-03-01,1,1.3201,EUR,, 
2012-03-02,1,1.3201,EUR,, 
2012-03-05,1,1.3201,EUR,, 
2012-03-06,1,1.3201,EUR,8.44, 
2012-03-07,1,1.3201,EUR,, 
2012-03-08,1,1.3201,EUR,, 
2012-03-09,1,1.3201,EUR,, 
2012-03-12,1,1.3201,EUR,, 
2012-03-13,1,1.3201,EUR,7.65, 
2012-03-14,1,1.3201,EUR,, 
2012-03-15,1,1.3201,EUR,7.8, 
2012-03-16,1,1.3201,EUR,, 
2012-03-19,1,1.3201,EUR,, 
2012-03-20,1,1.3201,EUR,7.25, 
2012-03-21,1,1.3201,EUR,, 
2012-03-22,1,1.3201,EUR,6.95, 
2012-03-23,1,1.3201,EUR,, 
2012-03-26,1,1.3201,EUR,, 
2012-03-27,1,1.3201,EUR,6.9, 
2012-03-28,1,1.3201,EUR,, 
2012-03-29,1,1.3201,EUR,, 
2012-03-30,1,1.3201,EUR,, 
2012-04-02,1,1.316173684,EUR,, 
2012-04-03,1,1.316173684,EUR,6, 
2012-04-04,1,1.316173684,EUR,, 
2012-04-05,1,1.316173684,EUR,, 
2012-04-10,1,1.316173684,EUR,6.54, 
2012-04-11,1,1.316173684,EUR,, 
2012-04-12,1,1.316173684,EUR,, 
2012-04-13,1,1.316173684,EUR,, 
2012-04-16,1,1.316173684,EUR,, 
2012-04-17,1,1.316173684,EUR,6.97, 
2012-04-18,1,1.316173684,EUR,, 
2012-04-19,1,1.316173684,EUR,7.02, 
2012-04-20,1,1.316173684,EUR,, 
2012-04-23,1,1.316173684,EUR,, 
2012-04-24,1,1.316173684,EUR,7.06, 
2012-04-25,1,1.316173684,EUR,, 
2012-04-26,1,1.316173684,EUR,, 
2012-04-27,1,1.316173684,EUR,, 
2012-04-30,1,1.316173684,EUR,, 
2012-05-02,1,1.278890909,EUR,, 
2012-05-03,1,1.278890909,EUR,, 
2012-05-04,1,1.278890909,EUR,, 
2012-05-07,1,1.278890909,EUR,, 
2012-05-08,1,1.278890909,EUR,6.5, 
2012-05-09,1,1.278890909,EUR,, 
2012-05-10,1,1.278890909,EUR,, 
2012-05-11,1,1.278890909,EUR,, 
2012-05-14,1,1.278890909,EUR,, 
2012-05-15,1,1.278890909,EUR,6.49, 
2012-05-16,1,1.278890909,EUR,, 
2012-05-18,1,1.278890909,EUR,, 
2012-05-21,1,1.278890909,EUR,, 
2012-05-22,1,1.278890909,EUR,6.65, 
2012-05-23,1,1.278890909,EUR,, 
2012-05-24,1,1.278890909,EUR,, 
2012-05-25,1,1.278890909,EUR,, 
2012-05-29,1,1.278890909,EUR,6.55, 
2012-05-30,1,1.278890909,EUR,, 
2012-05-31,1,1.278890909,EUR,, 
2012-06-01,1,1.252628571,EUR,, 
2012-06-04,1,1.252628571,EUR,, 
2012-06-05,1,1.252628571,EUR,6.27, 
