,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2020-08-27,1,1.182809524,EUR,28.03,, 
2020-08-28,1,1.182809524,EUR,29.5,, 
2020-08-31,1,1.182809524,EUR,,28.15, 
2020-09-01,1,1.179240909,EUR,28.28,, 
2020-09-04,1,1.179240909,EUR,28.8,, 
2020-09-07,1,1.179240909,EUR,26.9,27.54, 
2020-09-08,1,1.179240909,EUR,27.25,, 
2020-09-09,1,1.179240909,EUR,26.02,, 
2020-09-10,1,1.179240909,EUR,27.46,, 
2020-09-11,1,1.179240909,EUR,28.05,, 
2020-09-14,1,1.179240909,EUR,28.66,29.33, 
2020-09-15,1,1.179240909,EUR,29.99,, 
2020-09-17,1,1.179240909,EUR,29.1,, 
2020-09-18,1,1.179240909,EUR,28.36,, 
2020-09-21,1,1.179240909,EUR,27.12,26.74, 
2020-09-22,1,1.179240909,EUR,26.75,, 
2020-09-23,1,1.179240909,EUR,27.31,, 
2020-09-24,1,1.179240909,EUR,26.28,, 
2020-09-25,1,1.179240909,EUR,26.2,, 
2020-09-28,1,1.179240909,EUR,26.28,26.99, 
2020-09-29,1,1.179240909,EUR,27.09,, 
2020-10-01,1,1.177518182,EUR,26.41,, 
2020-10-02,1,1.177518182,EUR,26.11,, 
2020-10-05,1,1.177518182,EUR,26.79,26.54, 
2020-10-06,1,1.177518182,EUR,26.68,, 
2020-10-07,1,1.177518182,EUR,26.76,, 
2020-10-08,1,1.177518182,EUR,26.4,, 
2020-10-09,1,1.177518182,EUR,26,, 
2020-10-12,1,1.177518182,EUR,25.54,25.34, 
2020-10-13,1,1.177518182,EUR,25.3,, 
2020-10-15,1,1.177518182,EUR,25.15,, 
2020-10-16,1,1.177518182,EUR,25.46,, 
2020-10-19,1,1.177518182,EUR,24.85,24.52, 
2020-10-20,1,1.177518182,EUR,24.44,, 
2020-10-21,1,1.177518182,EUR,23.96,, 
2020-10-22,1,1.177518182,EUR,23.6,, 
2020-10-23,1,1.177518182,EUR,24.92,, 
2020-10-26,1,1.177518182,EUR,24.33,23.67, 
2020-10-27,1,1.177518182,EUR,23.55,, 
2020-10-29,1,1.177518182,EUR,23.07,, 
2020-10-30,1,1.177518182,EUR,23.45,, 
2020-11-02,1,1.183790476,EUR,23.02,24.91, 
2020-11-03,1,1.183790476,EUR,24.4,, 
2020-11-04,1,1.183790476,EUR,23.83,, 
2020-11-05,1,1.183790476,EUR,25.55,, 
2020-11-06,1,1.183790476,EUR,25.2,, 
2020-11-09,1,1.183790476,EUR,25.41,26.22, 
2020-11-10,1,1.183790476,EUR,26.47,, 
